reservation_id,guest_id,stay_number,checkin_date,checkin_day,length_of_stay,lead_time_days,purpose,room_category,rate_type,nightly_rate,room_revenue,satisfaction_score,nps,rebooked_direct
R00720,G0153,1,2023-12-12,Friday,2,69,Business,Presidential Suite,BAR,630.45,1260.9,7.8,Passive,False
R00721,G0153,2,2023-04-09,Monday,1,19,Business,Suite,Package,341.36,341.36,8.3,Passive,False
R00722,G0153,3,2023-07-28,Friday,2,17,Bleisure,Deluxe,BAR,170.6,341.2,6.7,Detractor,False
R00723,G0153,4,2023-08-06,Monday,1,46,Business,Suite,Loyalty Rate,371.76,371.76,7.0,Passive,False
R00724,G0153,5,2024-06-05,Friday,2,76,Leisure,Junior Suite,Loyalty Rate,258.44,516.88,8.7,Passive,False
R00725,G0153,6,2023-05-27,Sunday,4,51,Leisure,Junior Suite,Loyalty Rate,243.9,975.6,8.2,Passive,False
R00726,G0153,7,2024-07-21,Wednesday,2,38,Business,Deluxe,Loyalty Rate,186.32,372.64,8.0,Passive,False
R00727,G0153,8,2024-07-17,Friday,5,19,Leisure,Deluxe,BAR,181.38,906.9,8.1,Passive,False
R00728,G0153,9,2023-05-08,Thursday,2,16,Business,Junior Suite,Loyalty Rate,247.42,494.84,8.4,Passive,False
R00729,G0153,10,2024-08-01,Monday,4,50,Leisure,Junior Suite,Package,257.09,1028.36,7.7,Passive,False
R00730,G0154,1,2024-04-08,Saturday,3,13,Leisure,Suite,OTA Rate,403.71,1211.13,7.3,Passive,False
R00731,G0154,2,2024-09-30,Friday,6,19,Leisure,Suite,OTA Rate,412.19,2473.14,8.4,Passive,False
R00732,G0154,3,2024-11-03,Saturday,5,3,Bleisure,Presidential Suite,OTA Rate,669.94,3349.7,7.4,Passive,False
R00733,G0154,4,2024-07-02,Saturday,7,19,Leisure,Junior Suite,OTA Rate,268.66,1880.62,8.5,Passive,True
R00734,G0154,5,2023-01-22,Sunday,6,20,Leisure,Suite,OTA Rate,411.52,2469.12,6.8,Detractor,False
R00735,G0154,6,2023-06-29,Tuesday,3,10,Leisure,Suite,OTA Rate,407.35,1222.05,9.0,Promoter,True
R00736,G0154,7,2024-07-31,Sunday,5,20,Leisure,Suite,OTA Rate,418.43,2092.15,8.6,Passive,True
R00737,G0154,8,2024-02-12,Friday,5,29,Leisure,Standard,OTA Rate,145.64,728.2,8.4,Passive,False
R00738,G0154,9,2023-08-10,Sunday,3,17,Bleisure,Suite,OTA Rate,383.98,1151.94,9.0,Promoter,False
R00739,G0154,10,2024-01-06,Sunday,6,5,Leisure,Suite,OTA Rate,396.19,2377.14,9.5,Promoter,True
R00740,G0154,11,2023-10-19,Sunday,5,29,Leisure,Suite,OTA Rate,418.0,2090.0,9.0,Promoter,False
R00741,G0154,12,2024-08-02,Friday,6,26,Leisure,Suite,OTA Rate,374.72,2248.32,6.7,Detractor,False
R00742,G0154,13,2024-08-27,Saturday,3,14,Leisure,Suite,OTA Rate,371.93,1115.79,7.2,Passive,False
R00743,G0154,14,2024-07-17,Friday,5,21,Bleisure,Deluxe,OTA Rate,204.53,1022.65,7.7,Passive,False
R00744,G0154,15,2023-01-16,Saturday,2,22,Leisure,Suite,OTA Rate,412.84,825.68,8.2,Passive,False
R00745,G0154,16,2023-07-14,Thursday,4,30,Leisure,Suite,OTA Rate,380.15,1520.6,8.6,Passive,True
R00746,G0154,17,2023-10-01,Tuesday,4,28,Bleisure,Suite,OTA Rate,399.55,1598.2,7.6,Passive,False
R00747,G0154,18,2023-02-11,Sunday,3,16,Leisure,Suite,OTA Rate,367.13,1101.39,8.3,Passive,False
R00748,G0154,19,2024-11-14,Friday,5,30,Leisure,Presidential Suite,OTA Rate,648.77,3243.85,7.6,Passive,False
R00749,G0155,1,2023-02-26,Sunday,2,17,Business,Standard,OTA Rate,138.65,277.3,5.8,Detractor,False
R00750,G0155,2,2023-07-17,Friday,2,2,Leisure,Junior Suite,OTA Rate,270.29,540.58,5.5,Detractor,False
R00751,G0156,1,2023-02-27,Tuesday,2,5,Business,Suite,Corporate Rate,332.02,664.04,6.5,Detractor,False
R00752,G0156,2,2024-04-09,Monday,3,19,Business,Standard,Corporate Rate,127.88,383.64,6.4,Detractor,False
R00753,G0156,3,2024-03-29,Wednesday,1,14,Business,Standard,Corporate Rate,123.37,123.37,6.7,Detractor,False
R00754,G0157,1,2023-01-18,Friday,4,15,Bleisure,Standard,Corporate Rate,129.84,519.36,8.0,Passive,False
R00755,G0157,2,2024-04-04,Saturday,5,7,Bleisure,Deluxe,Corporate Rate,166.06,830.3,6.7,Detractor,False
R00756,G0157,3,2024-07-22,Saturday,5,18,Bleisure,Suite,Corporate Rate,356.03,1780.15,9.6,Promoter,False
R00757,G0157,4,2024-08-01,Saturday,4,3,Bleisure,Deluxe,Corporate Rate,169.63,678.52,7.9,Passive,False
R00758,G0158,1,2024-06-30,Sunday,1,9,Business,Junior Suite,Corporate Rate,225.69,225.69,7.9,Passive,False
R00759,G0158,2,2023-05-16,Thursday,7,8,Leisure,Deluxe,Corporate Rate,177.42,1241.94,7.4,Passive,False
R00760,G0158,3,2024-02-15,Wednesday,1,17,Business,Standard,Corporate Rate,131.86,131.86,8.7,Passive,False
R00761,G0158,4,2023-06-18,Monday,3,3,Bleisure,Deluxe,Corporate Rate,163.56,490.68,7.6,Passive,False
R00762,G0158,5,2024-03-08,Wednesday,3,13,Business,Standard,Corporate Rate,126.59,379.77,8.2,Passive,False
R00763,G0158,6,2024-08-10,Friday,3,9,Leisure,Deluxe,Corporate Rate,176.94,530.82,10.0,Promoter,True
R00764,G0159,1,2023-11-11,Monday,3,88,Bleisure,Deluxe,BAR,200.86,602.58,6.7,Detractor,False
R00765,G0159,2,2024-06-06,Thursday,2,49,Business,Standard,BAR,151.65,303.3,8.0,Passive,False
R00766,G0160,1,2024-11-29,Tuesday,5,18,Bleisure,Standard,OTA Rate,139.83,699.15,6.1,Detractor,False
R00767,G0160,2,2024-04-19,Friday,6,6,Leisure,Junior Suite,OTA Rate,259.41,1556.46,7.0,Passive,False
R00768,G0160,3,2023-06-15,Sunday,6,18,Leisure,Junior Suite,OTA Rate,260.39,1562.34,8.4,Passive,False
R00769,G0160,4,2023-07-18,Sunday,5,6,Bleisure,Deluxe,OTA Rate,191.88,959.4,6.5,Detractor,False
R00770,G0160,5,2024-05-18,Saturday,5,8,Leisure,Deluxe,OTA Rate,205.5,1027.5,8.4,Passive,False
R00771,G0161,1,2023-08-26,Friday,7,43,Leisure,Junior Suite,Promotional,282.14,1974.98,7.8,Passive,False
R00772,G0161,2,2023-12-13,Saturday,7,84,Leisure,Junior Suite,BAR,295.15,2066.05,7.1,Passive,False
R00773,G0161,3,2024-03-14,Sunday,6,82,Leisure,Junior Suite,BAR,304.31,1825.86,8.0,Passive,False
R00774,G0161,4,2023-08-30,Friday,3,67,Leisure,Junior Suite,BAR,271.06,813.18,8.3,Passive,False
R00775,G0161,5,2024-11-05,Wednesday,7,62,Leisure,Junior Suite,BAR,281.51,1970.57,8.0,Passive,False
R00776,G0162,1,2024-11-06,Saturday,5,30,Bleisure,Standard,OTA Rate,142.21,711.05,5.4,Detractor,False
R00777,G0162,2,2024-08-06,Monday,3,25,Business,Junior Suite,OTA Rate,259.32,777.96,6.4,Detractor,False
R00778,G0162,3,2024-08-07,Wednesday,2,25,Business,Deluxe,OTA Rate,184.1,368.2,6.8,Detractor,False
R00779,G0162,4,2024-08-27,Saturday,3,14,Leisure,Deluxe,OTA Rate,197.1,591.3,6.9,Detractor,False
R00780,G0162,5,2024-07-13,Sunday,3,29,Leisure,Junior Suite,OTA Rate,287.54,862.62,7.5,Passive,False
R00781,G0163,1,2023-02-04,Saturday,3,83,Leisure,Deluxe,Package,210.45,631.35,6.9,Detractor,False
R00782,G0163,2,2023-09-14,Thursday,3,52,Leisure,Suite,BAR,423.07,1269.21,6.0,Detractor,False
R00783,G0164,1,2024-06-08,Monday,5,12,Leisure,Junior Suite,OTA Rate,276.47,1382.35,7.0,Passive,False
R00784,G0164,2,2024-04-13,Saturday,6,3,Leisure,Deluxe,OTA Rate,187.71,1126.26,7.5,Passive,False
R00785,G0164,3,2024-07-11,Friday,7,25,Leisure,Suite,OTA Rate,376.77,2637.39,7.4,Passive,False
R00786,G0164,4,2024-09-22,Friday,7,3,Leisure,Junior Suite,OTA Rate,280.75,1965.25,7.9,Passive,False
R00787,G0164,5,2024-04-17,Friday,7,5,Leisure,Suite,OTA Rate,396.88,2778.16,7.7,Passive,False
R00788,G0165,1,2024-03-22,Thursday,4,13,Business,Suite,Corporate Rate,327.03,1308.12,8.8,Passive,False
R00789,G0165,2,2023-02-09,Friday,6,8,Bleisure,Suite,Corporate Rate,350.82,2104.92,8.6,Passive,True
R00790,G0165,3,2024-12-13,Monday,6,15,Business,Suite,Corporate Rate,332.44,1994.64,7.4,Passive,False
R00791,G0165,4,2024-04-12,Monday,4,11,Business,Presidential Suite,Corporate Rate,571.5,2286.0,9.0,Promoter,False
R00792,G0165,5,2024-01-19,Monday,6,17,Business,Suite,Corporate Rate,327.02,1962.12,8.9,Passive,True
R00793,G0165,6,2024-09-18,Wednesday,4,20,Business,Suite,Corporate Rate,352.99,1411.96,8.9,Passive,False
R00794,G0165,7,2023-08-16,Wednesday,5,15,Bleisure,Deluxe,Corporate Rate,160.78,803.9,7.7,Passive,False
R00795,G0165,8,2024-11-27,Wednesday,6,8,Leisure,Presidential Suite,Corporate Rate,583.2,3499.2,7.8,Passive,False
R00796,G0165,9,2023-06-21,Wednesday,6,10,Leisure,Junior Suite,Corporate Rate,240.16,1440.96,9.5,Promoter,False
R00797,G0165,10,2023-04-15,Sunday,3,20,Business,Suite,Corporate Rate,333.93,1001.79,8.7,Passive,True
R00798,G0166,1,2024-10-23,Thursday,7,11,Leisure,Standard,OTA Rate,143.29,1003.03,7.2,Passive,False
R00799,G0166,2,2024-05-14,Thursday,4,1,Leisure,Deluxe,OTA Rate,199.33,797.32,7.0,Passive,False
R00800,G0166,3,2023-05-03,Sunday,6,30,Leisure,Suite,OTA Rate,414.48,2486.88,7.0,Passive,False
R00801,G0166,4,2024-09-05,Monday,6,19,Leisure,Deluxe,OTA Rate,203.61,1221.66,7.8,Passive,False
R00802,G0167,1,2023-03-30,Wednesday,4,5,Bleisure,Deluxe,Corporate Rate,168.23,672.92,6.8,Detractor,False
R00803,G0167,2,2023-12-01,Wednesday,3,8,Bleisure,Deluxe,Corporate Rate,176.83,530.49,7.6,Passive,False
R00804,G0168,1,2024-03-05,Sunday,6,4,Leisure,Standard,OTA Rate,145.34,872.04,6.3,Detractor,False
R00805,G0168,2,2023-11-21,Saturday,2,28,Business,Standard,OTA Rate,153.82,307.64,6.7,Detractor,False
R00806,G0168,3,2023-04-22,Saturday,2,2,Bleisure,Deluxe,OTA Rate,187.67,375.34,6.8,Detractor,False
R00807,G0169,1,2024-01-28,Sunday,7,88,Leisure,Junior Suite,BAR,295.71,2069.97,7.4,Passive,False
R00808,G0169,2,2023-05-15,Monday,4,51,Leisure,Suite,BAR,430.31,1721.24,7.1,Passive,False
R00809,G0169,3,2023-12-23,Sunday,7,120,Leisure,Deluxe,BAR,198.73,1391.11,8.5,Passive,False
R00810,G0169,4,2024-06-02,Saturday,6,56,Leisure,Deluxe,BAR,203.76,1222.56,6.8,Detractor,False
R00811,G0169,5,2023-12-12,Sunday,7,90,Leisure,Junior Suite,Package,282.71,1978.97,7.4,Passive,False
R00812,G0170,1,2024-01-08,Thursday,7,50,Leisure,Standard,BAR,162.96,1140.72,6.8,Detractor,False
R00813,G0170,2,2023-05-02,Saturday,5,56,Leisure,Standard,Promotional,141.69,708.45,8.7,Passive,True
R00814,G0170,3,2023-06-09,Friday,3,89,Leisure,Deluxe,BAR,217.66,652.98,7.7,Passive,False
R00815,G0171,1,2023-05-15,Sunday,2,26,Leisure,Standard,OTA Rate,143.23,286.46,7.1,Passive,False
R00816,G0172,1,2023-08-02,Tuesday,1,80,Business,Deluxe,BAR,180.21,180.21,6.6,Detractor,False
R00817,G0172,2,2023-07-06,Thursday,4,80,Leisure,Junior Suite,Loyalty Rate,253.51,1014.04,8.3,Passive,False
R00818,G0172,3,2024-05-17,Saturday,3,42,Business,Deluxe,Package,184.85,554.55,8.8,Passive,False
R00819,G0172,4,2023-10-27,Tuesday,2,30,Leisure,Deluxe,BAR,183.85,367.7,8.2,Passive,False
R00820,G0172,5,2023-06-21,Thursday,2,81,Leisure,Deluxe,Package,183.23,366.46,9.0,Promoter,False
R00821,G0172,6,2023-04-19,Wednesday,2,30,Leisure,Deluxe,Loyalty Rate,185.89,371.78,7.7,Passive,False
R00822,G0173,1,2023-01-08,Saturday,2,62,Leisure,Suite,Package,359.88,719.76,9.5,Promoter,True
R00823,G0173,2,2024-05-16,Thursday,2,58,Business,Standard,Loyalty Rate,133.68,267.36,10.0,Promoter,True
R00824,G0173,3,2023-03-31,Wednesday,3,58,Leisure,Suite,Loyalty Rate,368.95,1106.85,8.4,Passive,False
R00825,G0173,4,2024-01-07,Thursday,3,62,Leisure,Deluxe,BAR,169.8,509.4,8.3,Passive,False
R00826,G0173,5,2023-05-26,Friday,7,72,Leisure,Junior Suite,BAR,243.88,1707.16,9.9,Promoter,True
R00827,G0173,6,2023-02-24,Wednesday,5,29,Leisure,Suite,Loyalty Rate,357.39,1786.95,10.0,Promoter,True
R00828,G0173,7,2024-03-29,Saturday,6,88,Leisure,Presidential Suite,Package,658.88,3953.28,8.3,Passive,False
R00829,G0173,8,2023-11-30,Monday,3,41,Business,Suite,Package,377.27,1131.81,8.4,Passive,False
R00830,G0173,9,2024-03-13,Saturday,6,23,Leisure,Suite,Loyalty Rate,361.12,2166.72,8.5,Passive,True
R00831,G0173,10,2023-06-20,Friday,3,87,Bleisure,Presidential Suite,BAR,616.53,1849.59,7.6,Passive,False
R00832,G0173,11,2023-11-12,Tuesday,5,77,Bleisure,Junior Suite,Package,245.24,1226.2,8.0,Passive,False
R00833,G0173,12,2023-01-21,Thursday,4,87,Leisure,Suite,BAR,363.54,1454.16,7.9,Passive,False
R00834,G0173,13,2023-04-30,Wednesday,3,70,Business,Standard,BAR,133.21,399.63,8.1,Passive,False
R00835,G0173,14,2023-06-15,Tuesday,3,73,Business,Suite,Package,367.83,1103.49,8.7,Passive,True
R00836,G0173,15,2024-12-25,Friday,6,85,Leisure,Presidential Suite,BAR,603.28,3619.68,8.9,Passive,True
R00837,G0173,16,2024-11-22,Tuesday,4,64,Leisure,Suite,BAR,341.32,1365.28,9.9,Promoter,True
R00838,G0173,17,2023-02-08,Thursday,6,76,Leisure,Suite,Package,374.45,2246.7,7.9,Passive,False
R00839,G0173,18,2024-06-15,Sunday,5,58,Leisure,Suite,BAR,367.96,1839.8,9.5,Promoter,False
R00840,G0173,19,2024-11-14,Wednesday,7,82,Leisure,Junior Suite,Loyalty Rate,260.53,1823.71,8.5,Passive,False
R00841,G0173,20,2023-02-11,Tuesday,2,44,Business,Presidential Suite,BAR,651.1,1302.2,8.7,Passive,False
R00842,G0174,1,2024-08-10,Friday,4,41,Bleisure,Presidential Suite,Package,634.03,2536.12,8.3,Passive,False
R00843,G0174,2,2023-04-06,Monday,3,42,Business,Suite,BAR,362.57,1087.71,7.2,Passive,False
R00844,G0174,3,2023-12-23,Tuesday,3,82,Leisure,Deluxe,Package,179.33,537.99,8.4,Passive,False
R00845,G0174,4,2023-02-28,Wednesday,2,94,Leisure,Deluxe,Loyalty Rate,173.34,346.68,8.2,Passive,False
R00846,G0174,5,2024-08-30,Saturday,2,39,Leisure,Deluxe,BAR,183.71,367.42,8.5,Passive,True
R00847,G0174,6,2023-06-11,Thursday,3,79,Business,Deluxe,BAR,171.93,515.79,8.3,Passive,False
R00848,G0174,7,2023-04-28,Saturday,2,35,Leisure,Standard,Loyalty Rate,128.58,257.16,10.0,Promoter,True
R00849,G0175,1,2023-05-04,Monday,5,19,Business,Suite,Corporate Rate,356.4,1782.0,7.9,Passive,False
R00850,G0175,2,2023-07-22,Saturday,3,12,Leisure,Suite,Corporate Rate,336.41,1009.23,8.3,Passive,False
R00851,G0175,3,2023-12-12,Monday,6,12,Business,Suite,Corporate Rate,323.33,1939.98,8.2,Passive,False
R00852,G0175,4,2023-10-16,Monday,7,15,Business,Suite,Corporate Rate,324.81,2273.67,8.3,Passive,False
R00853,G0175,5,2023-12-12,Saturday,4,7,Bleisure,Suite,Corporate Rate,334.19,1336.76,8.2,Passive,False
R00854,G0175,6,2023-01-18,Saturday,5,15,Bleisure,Suite,Corporate Rate,321.83,1609.15,9.7,Promoter,False
R00855,G0175,7,2024-11-01,Friday,7,14,Business,Deluxe,Corporate Rate,173.02,1211.14,9.8,Promoter,True
R00856,G0175,8,2023-01-18,Thursday,5,7,Bleisure,Junior Suite,Corporate Rate,235.03,1175.15,8.2,Passive,False
R00857,G0175,9,2024-01-03,Wednesday,5,7,Business,Junior Suite,Corporate Rate,223.95,1119.75,8.0,Passive,False
R00858,G0175,10,2023-03-18,Saturday,4,18,Bleisure,Presidential Suite,Corporate Rate,588.73,2354.92,9.1,Promoter,True
R00859,G0175,11,2023-06-15,Wednesday,3,8,Business,Suite,Corporate Rate,321.65,964.95,8.3,Passive,False
R00860,G0175,12,2023-03-29,Friday,6,10,Business,Deluxe,Corporate Rate,176.31,1057.86,9.2,Promoter,True
R00861,G0175,13,2023-04-20,Tuesday,3,10,Business,Suite,Corporate Rate,353.77,1061.31,8.9,Passive,True
R00862,G0175,14,2023-03-02,Wednesday,6,21,Business,Presidential Suite,Corporate Rate,603.92,3623.52,7.5,Passive,False
R00863,G0175,15,2024-01-13,Thursday,3,14,Business,Junior Suite,Corporate Rate,242.09,726.27,9.9,Promoter,False
R00864,G0175,16,2024-01-16,Friday,5,18,Business,Suite,Corporate Rate,324.66,1623.3,10.0,Promoter,False
R00865,G0175,17,2024-04-17,Monday,3,6,Business,Suite,Corporate Rate,339.72,1019.16,8.2,Passive,False
R00866,G0175,18,2023-02-09,Thursday,6,20,Business,Junior Suite,Corporate Rate,235.74,1414.44,8.4,Passive,False
R00867,G0175,19,2023-10-10,Tuesday,6,19,Bleisure,Standard,Corporate Rate,119.4,716.4,8.9,Passive,True
R00868,G0175,20,2024-11-17,Monday,3,6,Business,Presidential Suite,Corporate Rate,608.43,1825.29,9.0,Promoter,True
R00869,G0175,21,2023-07-20,Tuesday,4,4,Business,Suite,Corporate Rate,328.34,1313.36,9.2,Promoter,True
R00870,G0175,22,2023-02-18,Thursday,6,12,Bleisure,Deluxe,Corporate Rate,167.17,1003.02,10.0,Promoter,True
R00871,G0176,1,2023-07-21,Wednesday,5,18,Business,Presidential Suite,OTA Rate,704.54,3522.7,7.8,Passive,False
R00872,G0176,2,2024-04-02,Friday,6,1,Leisure,Junior Suite,OTA Rate,277.04,1662.24,7.6,Passive,False
R00873,G0176,3,2023-12-08,Saturday,7,13,Leisure,Deluxe,OTA Rate,204.03,1428.21,7.1,Passive,False
R00874,G0176,4,2024-03-26,Sunday,6,27,Leisure,Deluxe,OTA Rate,192.22,1153.32,7.6,Passive,False
R00875,G0176,5,2023-03-07,Sunday,7,1,Leisure,Standard,OTA Rate,156.06,1092.42,8.2,Passive,False
R00876,G0176,6,2024-02-17,Tuesday,7,1,Leisure,Suite,OTA Rate,408.32,2858.24,9.6,Promoter,True
R00877,G0176,7,2024-08-25,Friday,4,1,Leisure,Suite,OTA Rate,380.71,1522.84,7.8,Passive,False
R00878,G0176,8,2023-08-30,Sunday,7,25,Leisure,Suite,OTA Rate,403.78,2826.46,8.4,Passive,False
R00879,G0176,9,2024-12-14,Monday,3,11,Leisure,Suite,OTA Rate,369.27,1107.81,8.2,Passive,False
R00880,G0176,10,2024-09-17,Monday,6,21,Leisure,Suite,OTA Rate,409.7,2458.2,9.2,Promoter,False
R00881,G0176,11,2024-02-09,Friday,5,21,Leisure,Deluxe,OTA Rate,195.06,975.3,10.0,Promoter,True
R00882,G0176,12,2023-05-04,Friday,6,4,Leisure,Junior Suite,OTA Rate,270.54,1623.24,7.8,Passive,False
R00883,G0176,13,2023-04-12,Friday,6,16,Bleisure,Suite,OTA Rate,379.96,2279.76,7.8,Passive,False
R00884,G0176,14,2023-06-28,Friday,7,22,Leisure,Suite,OTA Rate,382.08,2674.56,9.0,Promoter,False
R00885,G0176,15,2023-04-27,Friday,3,23,Leisure,Suite,OTA Rate,380.78,1142.34,8.7,Passive,False
R00886,G0176,16,2024-11-07,Wednesday,7,15,Bleisure,Suite,OTA Rate,395.12,2765.84,9.7,Promoter,True
R00887,G0176,17,2023-04-02,Sunday,7,21,Leisure,Suite,OTA Rate,399.64,2797.48,8.7,Passive,True
R00888,G0176,18,2024-07-12,Saturday,5,22,Leisure,Suite,OTA Rate,398.99,1994.95,7.9,Passive,False
R00889,G0176,19,2024-06-09,Sunday,6,29,Leisure,Deluxe,OTA Rate,185.98,1115.88,8.7,Passive,False
R00890,G0176,20,2023-01-23,Friday,7,10,Leisure,Presidential Suite,OTA Rate,689.26,4824.82,9.1,Promoter,False
R00891,G0176,21,2023-03-14,Sunday,5,18,Leisure,Deluxe,OTA Rate,202.69,1013.45,8.9,Passive,True
R00892,G0176,22,2023-12-31,Saturday,7,15,Leisure,Presidential Suite,OTA Rate,677.05,4739.35,8.6,Passive,False
R00893,G0177,1,2024-07-06,Saturday,7,19,Leisure,Deluxe,BAR,208.95,1462.65,8.1,Passive,False
R00894,G0177,2,2023-07-04,Friday,5,90,Leisure,Deluxe,Package,208.99,1044.95,8.4,Passive,False
R00895,G0177,3,2023-06-11,Friday,6,35,Leisure,Junior Suite,BAR,302.87,1817.22,8.6,Passive,True
R00896,G0177,4,2024-02-06,Sunday,5,48,Leisure,Standard,BAR,157.49,787.45,8.0,Passive,False
R00897,G0178,1,2023-09-22,Tuesday,6,6,Leisure,Junior Suite,Corporate Rate,224.43,1346.58,8.3,Passive,False
R00898,G0178,2,2024-07-19,Monday,7,20,Business,Junior Suite,Corporate Rate,243.37,1703.59,8.8,Passive,True
R00899,G0178,3,2024-04-16,Friday,6,8,Business,Junior Suite,Corporate Rate,224.46,1346.76,9.7,Promoter,False
R00900,G0178,4,2024-03-07,Thursday,6,20,Bleisure,Junior Suite,Corporate Rate,230.59,1383.54,8.0,Passive,False
R00901,G0178,5,2024-09-18,Tuesday,5,7,Business,Deluxe,Corporate Rate,159.43,797.15,9.0,Promoter,False
R00902,G0178,6,2023-04-15,Monday,7,10,Business,Suite,Corporate Rate,335.42,2347.94,8.4,Passive,False
R00903,G0178,7,2024-07-09,Monday,4,11,Business,Suite,Corporate Rate,340.45,1361.8,8.7,Passive,True
R00904,G0178,8,2024-09-20,Tuesday,6,18,Business,Deluxe,Corporate Rate,178.85,1073.1,9.7,Promoter,True
R00905,G0178,9,2024-09-08,Tuesday,3,5,Business,Junior Suite,Corporate Rate,229.18,687.54,8.9,Passive,False
R00906,G0178,10,2024-08-23,Sunday,5,8,Bleisure,Presidential Suite,Corporate Rate,620.23,3101.15,8.7,Passive,False
R00907,G0178,11,2023-04-21,Wednesday,3,13,Business,Deluxe,Corporate Rate,164.15,492.45,7.6,Passive,False
R00908,G0178,12,2023-09-18,Wednesday,5,3,Business,Presidential Suite,Corporate Rate,584.39,2921.95,9.3,Promoter,False
R00909,G0178,13,2023-11-06,Tuesday,3,16,Business,Junior Suite,Corporate Rate,224.08,672.24,9.2,Promoter,True
R00910,G0178,14,2023-10-24,Thursday,6,5,Business,Suite,Corporate Rate,348.74,2092.44,10.0,Promoter,False
R00911,G0178,15,2023-03-08,Tuesday,7,20,Bleisure,Suite,Corporate Rate,341.01,2387.07,8.5,Passive,True
R00912,G0178,16,2024-07-08,Saturday,6,20,Leisure,Deluxe,Corporate Rate,164.6,987.6,8.9,Passive,True
R00913,G0178,17,2024-02-28,Sunday,5,8,Business,Presidential Suite,Corporate Rate,603.0,3015.0,8.9,Passive,False
R00914,G0178,18,2024-07-13,Thursday,4,21,Business,Junior Suite,Corporate Rate,240.46,961.84,10.0,Promoter,True
R00915,G0178,19,2024-06-02,Tuesday,5,13,Business,Suite,Corporate Rate,358.26,1791.3,8.6,Passive,False
R00916,G0178,20,2023-02-20,Wednesday,7,8,Business,Deluxe,Corporate Rate,172.88,1210.16,8.9,Passive,True
R00917,G0179,1,2024-01-05,Sunday,7,12,Leisure,Deluxe,OTA Rate,195.35,1367.45,6.8,Detractor,False
R00918,G0179,2,2024-03-08,Monday,7,25,Leisure,Junior Suite,OTA Rate,285.97,2001.79,6.7,Detractor,False
R00919,G0180,1,2023-08-01,Thursday,3,26,Bleisure,Suite,Loyalty Rate,354.01,1062.03,8.0,Passive,False
R00920,G0180,2,2023-02-27,Monday,2,90,Bleisure,Suite,BAR,371.35,742.7,8.9,Passive,True
R00921,G0180,3,2024-08-17,Monday,5,62,Bleisure,Suite,Loyalty Rate,375.18,1875.9,9.6,Promoter,False
R00922,G0180,4,2024-09-20,Friday,2,55,Bleisure,Suite,Loyalty Rate,339.72,679.44,7.9,Passive,False
R00923,G0180,5,2023-11-15,Sunday,5,70,Bleisure,Junior Suite,Package,253.09,1265.45,8.8,Passive,False
R00924,G0180,6,2023-11-12,Sunday,3,78,Leisure,Suite,Loyalty Rate,344.37,1033.11,8.1,Passive,False
R00925,G0180,7,2024-01-14,Friday,5,30,Bleisure,Presidential Suite,Loyalty Rate,623.42,3117.1,9.7,Promoter,False
R00926,G0180,8,2023-02-25,Wednesday,3,58,Business,Junior Suite,Loyalty Rate,256.53,769.59,7.5,Passive,False
R00927,G0180,9,2024-11-22,Sunday,2,36,Bleisure,Deluxe,Loyalty Rate,184.31,368.62,8.3,Passive,False
R00928,G0180,10,2024-04-07,Sunday,5,53,Bleisure,Junior Suite,BAR,254.26,1271.3,9.0,Promoter,True
R00929,G0180,11,2023-04-17,Tuesday,1,25,Business,Junior Suite,Package,251.19,251.19,10.0,Promoter,False
R00930,G0180,12,2024-06-30,Saturday,2,14,Leisure,Suite,Package,339.75,679.5,8.6,Passive,True
R00931,G0180,13,2024-06-12,Friday,5,85,Leisure,Deluxe,Package,172.59,862.95,8.3,Passive,False
R00932,G0180,14,2024-09-01,Friday,2,48,Leisure,Junior Suite,Package,248.55,497.1,10.0,Promoter,True
R00933,G0180,15,2023-06-18,Friday,3,28,Leisure,Presidential Suite,Loyalty Rate,631.11,1893.33,7.5,Passive,False
R00934,G0180,16,2023-08-23,Sunday,4,43,Leisure,Junior Suite,BAR,257.5,1030.0,6.9,Detractor,False
R00935,G0180,17,2024-06-29,Wednesday,3,35,Business,Junior Suite,Loyalty Rate,251.49,754.47,9.1,Promoter,True
R00936,G0181,1,2023-05-07,Saturday,7,13,Bleisure,Suite,Corporate Rate,333.64,2335.48,6.8,Detractor,False
R00937,G0181,2,2023-10-02,Thursday,5,12,Business,Junior Suite,Corporate Rate,231.16,1155.8,6.7,Detractor,False
R00938,G0181,3,2024-04-23,Monday,3,6,Business,Deluxe,Corporate Rate,163.05,489.15,8.1,Passive,False
R00939,G0181,4,2024-12-31,Thursday,7,18,Leisure,Junior Suite,Corporate Rate,240.52,1683.64,7.7,Passive,False
R00940,G0182,1,2023-03-28,Sunday,5,40,Leisure,Deluxe,Loyalty Rate,181.92,909.6,7.3,Passive,False
R00941,G0182,2,2023-06-20,Monday,6,82,Leisure,Deluxe,Loyalty Rate,170.6,1023.6,7.1,Passive,False
R00942,G0182,3,2024-05-01,Monday,2,22,Bleisure,Junior Suite,Loyalty Rate,244.04,488.08,8.8,Passive,True
R00943,G0182,4,2023-12-03,Wednesday,5,43,Leisure,Deluxe,BAR,185.66,928.3,8.6,Passive,True
R00944,G0182,5,2023-08-23,Thursday,4,15,Bleisure,Standard,Package,137.08,548.32,8.0,Passive,False
